product_ordered,organizationId,min_price,max_price,frequency,25_groups,35_groups,40_groups
THAI CK ROAST CHICKEN KATSUDON,xT9A0d9RczE9hDoFwgRK,10.0,10.0,3,19,29,17
PANDAN LEAF,xT9A0d9RczE9hDoFwgRK,1.9,1.9,3,14,6,15
NOODLE LAKSA,xT9A0d9RczE9hDoFwgRK,1.3,1.3,3,14,9,15
FROZEN VANNAMEI PRAWN PTO,xT9A0d9RczE9hDoFwgRK,14.0,14.0,3,14,6,0
ONION PURPLE SPANISH LARGE,xT9A0d9RczE9hDoFwgRK,4.0,4.0,2,22,2,4
BEST FOODS REAL MAYONNAISE,xT9A0d9RczE9hDoFwgRK,19.3738,19.3738,2,14,6,15
FROZEN CHICKEN LEG BLESS,xT9A0d9RczE9hDoFwgRK,3.8,3.8,2,19,29,24
BEEF FILLET END CUT MIDFIELD CHILLED AUSTRALIA,BoByIwyIqjPV8cBUxLj9,23.5,23.5,7,9,3,34
BURRATINA SINGLE DELIZIOSA ITA,BoByIwyIqjPV8cBUxLj9,5.8,5.8,7,14,6,15
BEEF RIBEYE STEAK BRAND RIOPLANTENSE CONDITION CHILLED COUNTRY ARGENTINE,BoByIwyIqjPV8cBUxLj9,31.5,31.5,6,9,3,34
WAGYU BEEF SIRLOIN STEAK MB BRAND STOCKYARD CONDITION CHILLED COUNTRY AUSTRALIA,BoByIwyIqjPV8cBUxLj9,78.0,78.0,6,9,3,34
AVOCADO,BoByIwyIqjPV8cBUxLj9,1.7,1.7,6,14,6,15
AVOCADO,FFjNUN2Sh5CYVvRLjWU6,1.7,1.7,6,14,6,15
AVOCADO,0crseC3fJ4blre9g6H26,1.65,1.65,160,14,6,15
AVOCADO,ecb6a488-6a92-456d-a2fa-3a42668b63da,1.5,11.0,70,14,6,15
AVOCADO,yPODHzRg7TAPcrDrNf17,1.65,1.65,127,14,6,15
AVOCADO,ayl2U2BJHwSqYtGtKJqk,1.8,1.8,62,14,6,15
AVOCADO,x9bviQCfs5FSKkJJPnFj,1.55,1.8,279,14,6,15
AVOCADO,mZRbrxkZpKmI082Mcc2v,1.75,4.0,368,14,6,15
AVOCADO,QBlfKe1hMKQYUV5uBDuu,1.65,1.9,142,14,6,15
LETTUCE MESCLUN,BoByIwyIqjPV8cBUxLj9,17.9,17.9,6,23,11,22
LETTUCE MESCLUN,FFjNUN2Sh5CYVvRLjWU6,17.9,17.9,5,23,11,22
LETTUCE MESCLUN,0crseC3fJ4blre9g6H26,18.0,18.0,174,23,11,22
LETTUCE MESCLUN,yPODHzRg7TAPcrDrNf17,18.0,18.0,199,23,11,22
EGGS CHICKEN,BoByIwyIqjPV8cBUxLj9,6.5,6.5,6,19,29,17
EGGS CHICKEN,0crseC3fJ4blre9g6H26,6.5,6.5,141,19,29,17
EGGS CHICKEN,d3f5c595-873c-481a-a024-3b209533d72e,6.8,9.0,154,19,29,17
EGGS CHICKEN,yPODHzRg7TAPcrDrNf17,6.5,6.5,145,19,29,17
EGGS CHICKEN,qUaDyfzQ5GxFE9dyOhao,6.5,8.9,186,19,29,17
EGGS CHICKEN,zxi6JMIx4lraztwzQB3Y,6.5,8.9,220,19,29,17
EGGS CHICKEN,3l2ChN6QwY5x8JTRJajV,6.5,8.9,267,19,29,17
EGGS CHICKEN,x9bviQCfs5FSKkJJPnFj,6.8,8.9,335,19,29,17
EGGS CHICKEN,Nq0MaGT0ku8KDsCkSKc3,6.5,8.9,483,19,29,17
EGGS CHICKEN,tFwVht0zVlzfYANIVoKb,5.05,8.9,1236,19,29,17
EGGS CHICKEN,QBlfKe1hMKQYUV5uBDuu,7.0,8.9,253,19,29,17
GARLIC WHOLE,BoByIwyIqjPV8cBUxLj9,4.5,4.5,5,10,22,15
GARLIC WHOLE,6CFhOC4Mui3XQXgA7bfq,4.5,4.5,35,10,22,15
GARLIC WHOLE,ezhwwSmXIE1jeZlmtHDa,4.5,5.6,75,10,22,15
GARLIC WHOLE,x9bviQCfs5FSKkJJPnFj,4.0,4.5,269,10,22,15
GARLIC WHOLE,QBlfKe1hMKQYUV5uBDuu,4.0,4.5,137,10,22,15
WAGYU BEEF RUMP STEAK MB BRAND STOCKYARD CONDITION CHILLED COUNTRY AUSTRALIA,BoByIwyIqjPV8cBUxLj9,31.0,31.0,5,9,3,34
WATERCRESS,BoByIwyIqjPV8cBUxLj9,6.9,6.9,5,14,6,15
WATERCRESS,Y7UmL0O87UJXe0mlOJ2h,1.4018,9.0,349,14,6,15
WATERCRESS,BURNTENDS,1.7009,8.5046,510,14,6,15
COULOMMIERS JANIER FRA,BoByIwyIqjPV8cBUxLj9,19.5,19.5,4,14,6,15
POTATO AGRIA PEELED,BoByIwyIqjPV8cBUxLj9,9.0,9.0,4,1,23,33
TOMME DE SAVOIE IGP FERMIERE JANIER FRA,BoByIwyIqjPV8cBUxLj9,41.5,41.5,4,14,6,15
BEEF MARROW BONE CUT JOHN DEE FROZEN AUSTRALIA,BoByIwyIqjPV8cBUxLj9,8.8,8.8,4,9,3,34
ZUCCHINI GREEN,BoByIwyIqjPV8cBUxLj9,4.0,4.0,4,20,19,3
ZUCCHINI GREEN,wT2iwI23Zj7qrI2Ntpiu,3.0,3.0,28,20,19,3
ZUCCHINI GREEN,hMTlVUJVpBoJZX4hKR7n,3.3,4.5,96,20,19,3
ZUCCHINI GREEN,iaronCXV4Lbepr7lM7hj,3.0,3.0,56,20,19,3
ZUCCHINI GREEN,WILDHONEY,2.8,4.5,1027,20,19,3
ZUCCHINI YELLOW,BoByIwyIqjPV8cBUxLj9,5.5,5.5,4,14,12,15
ZUCCHINI YELLOW,hMTlVUJVpBoJZX4hKR7n,5.0,5.0,93,14,12,15
EPOISSES AOP LAIT CRU JANIER FRA,BoByIwyIqjPV8cBUxLj9,17.0,17.0,4,14,6,15
ONION YELLOW PEELED,BoByIwyIqjPV8cBUxLj9,1.9,1.9,4,1,2,4
ONION YELLOW PEELED,d3f5c595-873c-481a-a024-3b209533d72e,1.8,2.5,176,1,2,4
ONION YELLOW PEELED,qUaDyfzQ5GxFE9dyOhao,1.9,1.9,177,1,2,4
ONION YELLOW PEELED,2SBVln3dsn5IX35mnJvy,1.65,1.9,307,1,2,4
ONION YELLOW PEELED,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,1.9,1.9,285,1,2,4
SUITE BUSINESS,k1qWrWiMJLZ0n7sEYEHN,1.68,16.8,7,14,6,15
FREIGHT,k1qWrWiMJLZ0n7sEYEHN,0.4,6.8,6,14,6,15
COCA COLA,k1qWrWiMJLZ0n7sEYEHN,33.72,33.72,6,14,6,15
PARK BOOKING FEE,k1qWrWiMJLZ0n7sEYEHN,310.5363,354.4,5,14,6,15
GREAT NORTHERN SUPER CRISP SB,k1qWrWiMJLZ0n7sEYEHN,46.27,46.27,5,14,6,15
HERBS PARSLEY,k1qWrWiMJLZ0n7sEYEHN,2.7,2.95,4,14,6,15
COKE NO SUGAR,k1qWrWiMJLZ0n7sEYEHN,35.71,35.71,4,18,15,8
SCHWEPPES SODA WATER,k1qWrWiMJLZ0n7sEYEHN,28.93,28.93,4,12,6,15
SCHWEPPES LEMONADE,k1qWrWiMJLZ0n7sEYEHN,38.26,38.26,4,14,6,15
SCHWEPPES DRY GINGER ALE,k1qWrWiMJLZ0n7sEYEHN,28.93,28.93,4,14,6,15
TABLECLOTH SPUN POLY ROUND WHITE,k1qWrWiMJLZ0n7sEYEHN,5.47,6.72,4,22,10,8
BOOKING VOLUME OFFLINE,k1qWrWiMJLZ0n7sEYEHN,0.85,0.85,4,14,6,15
MANAGEMENT FEES,k1qWrWiMJLZ0n7sEYEHN,1818.18,1818.18,4,14,6,15
ACCELERATE PLAN,k1qWrWiMJLZ0n7sEYEHN,99.0,99.0,4,14,6,15
SPINACH BABY LOOSE,k1qWrWiMJLZ0n7sEYEHN,14.0,14.0,3,14,6,5
SPINACH BABY LOOSE,VL4xwSTB5HsvqV9SumfZ,14.0,14.0,3,14,6,5
WEEKLY RETAINER,k1qWrWiMJLZ0n7sEYEHN,1200.0,1200.0,3,14,6,15
WEEKLY RETAINER,VL4xwSTB5HsvqV9SumfZ,800.0,800.0,3,14,6,15
SUITE BASIC,k1qWrWiMJLZ0n7sEYEHN,0.84,8.4,3,14,6,15
SUITE BASIC,VL4xwSTB5HsvqV9SumfZ,3.5225,8.4,3,14,6,15
TABLECLOTH SPUN POLY BLACK,k1qWrWiMJLZ0n7sEYEHN,6.5,6.5,3,14,21,15
LITTLE CREATURES PALE ALE BTL,k1qWrWiMJLZ0n7sEYEHN,59.27,59.27,3,14,6,15
NV HAIBITAT BRUT CUVEE,k1qWrWiMJLZ0n7sEYEHN,6.68,6.68,3,14,6,15
ELECTRICITY CHARGES,VL4xwSTB5HsvqV9SumfZ,193.39,1037.87,7,14,6,15
EGGS XL FR BY TRAY,VL4xwSTB5HsvqV9SumfZ,68.0,68.0,5,14,6,16
MUSHROOM SWISS BUTTON SHELDON,VL4xwSTB5HsvqV9SumfZ,42.0,42.0,5,11,30,29
GUESTS SEATED FROM ONLINE RESERVATIONS ON YOUR WEBSITE,VL4xwSTB5HsvqV9SumfZ,0.25,0.25,3,14,6,15
CATERING SOURDOUGH VIENNA THICK SLICED,VL4xwSTB5HsvqV9SumfZ,5.55,5.55,4,14,32,15
MUSHROOM SWISS FLAT SHELDON,VL4xwSTB5HsvqV9SumfZ,41.0,41.0,4,11,30,21
FRESH BARRAMUNDI PORTION SKIN ON SQUARE CUT INFINITY BLUE,VL4xwSTB5HsvqV9SumfZ,6.5,6.5,4,6,6,10
GAS SUPPLIED,VL4xwSTB5HsvqV9SumfZ,2.2027,2.2028,4,14,6,15
SQUID RINGS,VL4xwSTB5HsvqV9SumfZ,11.9,11.9,3,14,6,15
OPENTABLE CORE,VL4xwSTB5HsvqV9SumfZ,159.0,159.0,3,14,6,15
LA CARTE DINNER NAPKIN WHT REDIFOLD QUILTED,VL4xwSTB5HsvqV9SumfZ,12.84,14.01,3,14,6,15
RESTAURANT WEBSITE COVERS MONTHLY FEE,VL4xwSTB5HsvqV9SumfZ,49.0,49.0,3,14,6,15
CATERING SOURDOUGH VIENNA THIN SLICED,VL4xwSTB5HsvqV9SumfZ,5.55,5.55,3,14,32,15
GUESTS SEATED FROM OPEN TABLE DINER NETWORK,VL4xwSTB5HsvqV9SumfZ,2.0,2.0,3,14,6,15
DARK RYE SOURDOUGH,VL4xwSTB5HsvqV9SumfZ,5.35,5.35,3,14,32,36
DELUXE FRUIT LOAF,VL4xwSTB5HsvqV9SumfZ,7.55,7.55,3,14,6,36
FRESH BARRAMUNDI PORTION SKIN ON EACH,VL4xwSTB5HsvqV9SumfZ,3.5,3.95,3,6,6,10
EL SALVADOR,J7FPPzD9K7GRIc2aYNrM,8.0,58.0,7,14,6,15
BRAZIL,J7FPPzD9K7GRIc2aYNrM,8.0,58.0,7,14,6,15
COLOMBIA,J7FPPzD9K7GRIc2aYNrM,8.0,58.0,5,14,6,15
SUMATRA,J7FPPzD9K7GRIc2aYNrM,8.0,58.0,5,14,6,15
BEEF LASAGNE,J7FPPzD9K7GRIc2aYNrM,17.3,17.3,5,9,3,34
TURKEY HAMTOMATO WRAP,J7FPPzD9K7GRIc2aYNrM,16.2,16.2,5,14,6,15
THAI GREEN CURRY CHICK WRAP,J7FPPzD9K7GRIc2aYNrM,16.2,16.2,4,20,19,3
TANDOORI CHICK BASIL WRAP,J7FPPzD9K7GRIc2aYNrM,16.2,16.2,4,14,6,28
ETHIOPIA,J7FPPzD9K7GRIc2aYNrM,8.0,8.0,4,14,6,15
JEWEL COFFEE SPECIALTY COFFEE CAPSULES BRAZIL,J7FPPzD9K7GRIc2aYNrM,5.17,5.17,3,14,6,15
JEWEL COFFEE SPECIALTY COFFEE CAPSULES COLOMBIA,J7FPPzD9K7GRIc2aYNrM,5.17,5.17,3,14,6,15
TEX MEX BEEF WRAP,J7FPPzD9K7GRIc2aYNrM,16.2,16.2,3,9,3,34
PAIN AU CHOCOLAT,J7FPPzD9K7GRIc2aYNrM,1.5,1.5,3,14,6,15
PAPER HOT CUP DW UNI MATT JEWEL COFFEECN,J7FPPzD9K7GRIc2aYNrM,55.0,55.0,3,14,0,14
OATMEAL COOKIE,J7FPPzD9K7GRIc2aYNrM,1.65,10.0,3,14,6,15
PLAIN BAGEL,J7FPPzD9K7GRIc2aYNrM,1.0,10.0,3,14,6,15
PENNE WITH CHICKEN BOLOGNESE,J7FPPzD9K7GRIc2aYNrM,3.5,3.5,3,19,29,17
MULTIGRAIN BAGEL,J7FPPzD9K7GRIc2aYNrM,1.25,30.0,3,14,6,15
SESAME BAGEL GM,J7FPPzD9K7GRIc2aYNrM,1.0,10.0,3,14,6,15
SPAG CARBONARA CHKN HAM MSHRM,J7FPPzD9K7GRIc2aYNrM,3.5,3.5,3,14,1,15
LA COSTENA NACHO SLICES JALAPENO,qSAWTlQrLFfXbFyKfsWH,10.9,65.4,8,14,6,15
VER AVOCADO CHUNKY PULP,qSAWTlQrLFfXbFyKfsWH,13.5,13.5,8,14,6,15
FG_TOSCANO KALE,qSAWTlQrLFfXbFyKfsWH,24.0,24.0,5,14,6,15
BIR TEASDALE WHOLE PINTO BEAN,qSAWTlQrLFfXbFyKfsWH,8.8,52.8,7,10,16,37
BELGLOIOSO SHAVED PARMESAN BAG,qSAWTlQrLFfXbFyKfsWH,19.5,19.5,7,14,0,30
REDMAN POTATO STARCH,qSAWTlQrLFfXbFyKfsWH,1.9,1.9,5,21,23,33
REDMAN CORN FLOUR,qSAWTlQrLFfXbFyKfsWH,1.1,1.1,5,21,17,7
REDMAN PLAIN FLOUR UNBLEACHED,qSAWTlQrLFfXbFyKfsWH,1.65,1.65,5,21,17,15
REDMAN PLAIN FLOUR UNBLEACHED,ug4Z8SOj0N1E87IPPIod,18.6,21.0,178,21,17,15
REDMAN PLAIN FLOUR UNBLEACHED,d3f5c595-873c-481a-a024-3b209533d72e,1.65,1.8,95,21,17,15
REDMAN FINE SUGAR,qSAWTlQrLFfXbFyKfsWH,1.4,1.4,5,18,15,8
REDMAN FINE SUGAR,ug4Z8SOj0N1E87IPPIod,1.45,1.5,186,18,15,8
REDMAN FINE SUGAR,d3f5c595-873c-481a-a024-3b209533d72e,1.4,1.45,130,18,15,8
REDMAN FINE SUGAR,x9bviQCfs5FSKkJJPnFj,1.4,2.45,274,18,15,8
REDMAN FINE SUGAR,tMffMi0bBNVlzTLTBHiL,1.45,1.75,230,18,15,8
REDMAN BROWN SUGAR,qSAWTlQrLFfXbFyKfsWH,4.1,4.1,5,18,15,8
REDMAN BROWN SUGAR,ug4Z8SOj0N1E87IPPIod,7.3,8.5,151,18,15,8
REDMAN YELLOW CORN MEAL,qSAWTlQrLFfXbFyKfsWH,3.2,3.2,5,21,12,7
BIR FRANKS HOT SAUCE ORIGINAL CAYENNE PEPPER SAUCE,qSAWTlQrLFfXbFyKfsWH,25.0,25.0,5,13,8,23
TORTILLA TACO,qSAWTlQrLFfXbFyKfsWH,90.0,90.0,5,14,17,15
CORN KERNEL WHOLEMILI,qSAWTlQrLFfXbFyKfsWH,1.0,1.0,4,7,22,7
BIG ELBOW GOMITI,qSAWTlQrLFfXbFyKfsWH,1.8,43.2,3,14,6,15
ENGLISH MUSTARD POWDER,qSAWTlQrLFfXbFyKfsWH,11.6,11.6,2,14,25,15
PAPRIKA,qSAWTlQrLFfXbFyKfsWH,14.0,14.0,2,14,6,15
TAHINI SESAME SAUCE,qSAWTlQrLFfXbFyKfsWH,13.15,13.15,2,13,8,23
THAI FISH GRAVY,qSAWTlQrLFfXbFyKfsWH,2.0,2.0,2,14,7,15
NUTELLA HAZELNUT SPREAD,qSAWTlQrLFfXbFyKfsWH,10.85,10.85,2,14,6,15
HEGO MID JOINT CHIX WING PDM CHILLED,FohcNWc4ZgemnhO1Cbka,2.6,2.6,9,14,3,15
HEGO SKINLESS BL CHIX BREAST PDM CHILLED,FohcNWc4ZgemnhO1Cbka,2.4,2.4,9,3,3,15
HEGO SKINON BLESS CHIX LEG PDM CHILLED,FohcNWc4ZgemnhO1Cbka,2.4,2.4,9,14,3,15
HEGO WHOLE CHICKEN GRILLER CHILLED,FohcNWc4ZgemnhO1Cbka,3.82,3.82,9,19,29,17
HEGO CHICKEN FILLET PDM CHILLED,FohcNWc4ZgemnhO1Cbka,2.31,2.31,8,19,5,17
HEGO NZ GRASS FED BEEF STIR FRY CHILLED,FohcNWc4ZgemnhO1Cbka,4.84,4.84,8,9,3,34
FINE STRING BEAN,FohcNWc4ZgemnhO1Cbka,1.35,1.35,7,14,16,26
JAPANESE SWEET POTATO,FohcNWc4ZgemnhO1Cbka,2.65,2.65,7,24,14,33
BABY CORN BC,FohcNWc4ZgemnhO1Cbka,7.5,7.5,7,7,22,7
THAI FINE ASPARAGUS,FohcNWc4ZgemnhO1Cbka,1.3,1.3,7,14,6,15
FRENCH BEAN FBC,FohcNWc4ZgemnhO1Cbka,1.4,1.4,7,14,16,37
THAI BABY KALE,FohcNWc4ZgemnhO1Cbka,1.4,1.4,7,14,6,7
CHILI PADI,FohcNWc4ZgemnhO1Cbka,1.05,1.05,7,14,6,15
HEGO CHICKEN DRUMETTE PD CHILLED,FohcNWc4ZgemnhO1Cbka,2.0,2.0,7,19,29,17
GREEN CHILLI LONG,FohcNWc4ZgemnhO1Cbka,1.15,1.15,7,20,19,3
GREEN CHILLI PADI,FohcNWc4ZgemnhO1Cbka,0.85,0.85,7,20,19,3
PURPLE SWEET POTATO,FohcNWc4ZgemnhO1Cbka,1.3,1.3,7,24,14,33
GREEN SEEDLESS LIME LMSL,FohcNWc4ZgemnhO1Cbka,1.2,1.2,7,16,34,3
RED CHILLI LONG,FohcNWc4ZgemnhO1Cbka,1.3,1.3,7,14,4,20
OYSTER MUSHROOM WITH STICKER,FohcNWc4ZgemnhO1Cbka,1.0,1.0,7,11,30,21
TUBEBABY ICE ECON PAK,FFjNUN2Sh5CYVvRLjWU6,4.0,4.0,10,4,6,9
CRUSH ICE,FFjNUN2Sh5CYVvRLjWU6,4.0,4.0,9,4,6,9
CRUSH ICE,706c3aa4-776e-4300-9108-80eb6771dffb,2.2,4.375,150,4,6,9
CRUSH ICE,A9KBK7FuOowtwmzRlqHn,1.8692,3.5,578,4,6,9
BABY SPINACH,FFjNUN2Sh5CYVvRLjWU6,17.9,17.9,8,14,6,5
BABY SPINACH,wT2iwI23Zj7qrI2Ntpiu,18.0,18.0,42,14,6,5
BABY SPINACH,yPODHzRg7TAPcrDrNf17,18.0,18.0,121,14,6,5
BABY SPINACH,iaronCXV4Lbepr7lM7hj,18.0,18.0,74,14,6,5
BABY SPINACH,qUaDyfzQ5GxFE9dyOhao,17.9,20.9,135,14,6,5
BABY SPINACH,TCNs6ubTKBzMTsSdTGOe,18.0,25.0,123,14,6,5
BABY SPINACH,b22762c4-577c-4195-9c19-367b566625c4,18.0,20.9,129,14,6,5
BABY SPINACH,6hReMbtRVHmsFmp3Sy5r,16.5,20.9,162,14,6,5
BABY SPINACH,3l2ChN6QwY5x8JTRJajV,11.95,19.5,300,14,6,5
BABY SPINACH,tFwVht0zVlzfYANIVoKb,17.9,20.9,761,14,6,5
TOMATO XL,FFjNUN2Sh5CYVvRLjWU6,2.9,2.9,8,5,31,15
KALE GREEN,FFjNUN2Sh5CYVvRLjWU6,12.9,12.9,7,20,19,3
KALE GREEN,0crseC3fJ4blre9g6H26,12.0,12.0,123,20,19,3
KALE GREEN,yPODHzRg7TAPcrDrNf17,12.0,12.0,107,20,19,3
LIME SMALL,FFjNUN2Sh5CYVvRLjWU6,3.5,3.5,6,16,34,15
BRANDT BEEF RIB FINGER MEAT,FFjNUN2Sh5CYVvRLjWU6,25.0,25.0,6,9,3,34
CHICKEN LEG BONELESS,FFjNUN2Sh5CYVvRLjWU6,7.0,7.0,5,19,29,24
CHICKEN LEG BONELESS,qUaDyfzQ5GxFE9dyOhao,4.5,6.0,99,19,29,24
CHICKEN LEG BONELESS,BURNTENDS,6.5,13.0,725,19,29,24
CRAB MEAT CHILLED PASTEURIZED CLAW,FFjNUN2Sh5CYVvRLjWU6,19.0,19.0,5,14,3,38
ONION YELLOW,FFjNUN2Sh5CYVvRLjWU6,1.5,1.5,5,22,2,4
ONION YELLOW,0crseC3fJ4blre9g6H26,1.3,1.3,128,22,2,4
ONION YELLOW,SBARTemlIRP0og3eXx8u,1.2,1.3,92,22,2,4
ONION YELLOW,yPODHzRg7TAPcrDrNf17,1.3,1.3,134,22,2,4
ONION YELLOW,RAtjEwAw5JZqX46E7fUD,1.5,1.65,102,22,2,4
ONION YELLOW,c70c071d-6fcb-4596-bd16-86a26c4e36fc,1.5,1.65,155,22,2,4
ONION YELLOW,b22762c4-577c-4195-9c19-367b566625c4,1.3,1.65,139,22,2,4
ONION YELLOW,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,1.3,1.6,450,22,2,4
ONION YELLOW,BURNTENDS,1.3,1.65,477,22,2,4
ONION YELLOW,tFwVht0zVlzfYANIVoKb,1.5,1.9,694,22,2,4
ONION YELLOW,QBlfKe1hMKQYUV5uBDuu,1.3,1.65,143,22,2,4
BEEF STRIPLOIN NZ,FFjNUN2Sh5CYVvRLjWU6,23.0,23.0,5,9,3,34
POTATO RUSSET USA,FFjNUN2Sh5CYVvRLjWU6,1.55,1.55,5,21,23,33
POTATO RUSSET USA,0crseC3fJ4blre9g6H26,1.55,1.55,150,21,23,33
POTATO RUSSET USA,d3f5c595-873c-481a-a024-3b209533d72e,1.55,2.3,135,21,23,33
POTATO RUSSET USA,yPODHzRg7TAPcrDrNf17,1.55,1.55,100,21,23,33
POTATO RUSSET USA,QBlfKe1hMKQYUV5uBDuu,1.55,2.3,140,21,23,33
HAKE FILLET SKINLESS BONELESS BOX,FFjNUN2Sh5CYVvRLjWU6,19.0,19.0,5,6,5,24
MUSHROOM PORTOBELLO,FFjNUN2Sh5CYVvRLjWU6,13.0,13.0,5,11,30,21
MUSHROOM PORTOBELLO,wT2iwI23Zj7qrI2Ntpiu,13.0,13.0,30,11,30,21
MUSHROOM PORTOBELLO,6CFhOC4Mui3XQXgA7bfq,12.5,12.5,39,11,30,21
MUSHROOM PORTOBELLO,qUaDyfzQ5GxFE9dyOhao,12.0,15.9,123,11,30,21
SHOESTRING,FFjNUN2Sh5CYVvRLjWU6,30.0,30.0,5,8,14,19
LEEK LOCAL,FFjNUN2Sh5CYVvRLjWU6,5.5,5.5,4,14,18,2
HERB ITALIAN PARSLEY,FFjNUN2Sh5CYVvRLjWU6,1.65,1.65,4,17,26,15
HERB ITALIAN PARSLEY,d3f5c595-873c-481a-a024-3b209533d72e,2.0,3.0,163,17,26,15
HERB ITALIAN PARSLEY,6CFhOC4Mui3XQXgA7bfq,1.5,1.5,38,17,26,15
HERB ITALIAN PARSLEY,RAtjEwAw5JZqX46E7fUD,1.65,1.65,89,17,26,15
HERB ITALIAN PARSLEY,TCNs6ubTKBzMTsSdTGOe,1.65,2.0,211,17,26,15
HERB ITALIAN PARSLEY,b22762c4-577c-4195-9c19-367b566625c4,1.65,2.0,199,17,26,15
HERB ITALIAN PARSLEY,SARNIES,1.65,2.0,317,17,26,15
HERB ITALIAN PARSLEY,3l2ChN6QwY5x8JTRJajV,2.0,2.0,369,17,26,15
HERB ITALIAN PARSLEY,x9bviQCfs5FSKkJJPnFj,1.65,2.0,321,17,26,15
HERB ITALIAN PARSLEY,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,2.0,2.0,480,17,26,15
HERB ITALIAN PARSLEY,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,1.65,2.0,470,17,26,15
HERB ITALIAN PARSLEY,BURNTENDS,1.65,2.0,859,17,26,15
HERB ITALIAN PARSLEY,QBlfKe1hMKQYUV5uBDuu,1.65,2.0,173,17,26,15
CHIVES,5ASEPlvGDhzzsqBtSbv1,3.5,3.5,13,14,6,15
CHIVES,ezhwwSmXIE1jeZlmtHDa,3.0,3.0,98,14,6,15
CHIVES,tMffMi0bBNVlzTLTBHiL,3.0,5.5,351,14,6,15
MICRO ITALIAN BASIL,5ASEPlvGDhzzsqBtSbv1,9.9,9.9,11,14,26,28
ORANGE VALENCIA,5ASEPlvGDhzzsqBtSbv1,0.53,3.3,10,14,6,15
ORANGE VALENCIA,wT2iwI23Zj7qrI2Ntpiu,0.4,0.4,24,14,6,15
ORANGE VALENCIA,ecb6a488-6a92-456d-a2fa-3a42668b63da,2.4,43.5,78,14,6,15
ORANGE VALENCIA,yPODHzRg7TAPcrDrNf17,2.4,36.0,113,14,6,15
ORANGE VALENCIA,TCNs6ubTKBzMTsSdTGOe,0.53,3.3,123,14,6,15
ORANGE VALENCIA,nsktAYJt6SCG2eThiqOc,15.0,38.0,45,14,6,15
ORANGE VALENCIA,2SBVln3dsn5IX35mnJvy,0.4,3.3,481,14,6,15
CARROTS,5ASEPlvGDhzzsqBtSbv1,1.6,1.8,10,14,6,15
CARROTS,CLFrg9CzZG1KynRwwPpV,1.5,1.5,5,14,6,15
CARROTS,SBARTemlIRP0og3eXx8u,1.3,1.8,93,14,6,15
CARROTS,d3f5c595-873c-481a-a024-3b209533d72e,1.35,1.8,168,14,6,15
CARROTS,ecb6a488-6a92-456d-a2fa-3a42668b63da,0.8411,2.0,172,14,6,15
CARROTS,RAtjEwAw5JZqX46E7fUD,1.5,1.8,99,14,6,15
CARROTS,c70c071d-6fcb-4596-bd16-86a26c4e36fc,1.35,1.8,101,14,6,15
CARROTS,TCNs6ubTKBzMTsSdTGOe,1.35,1.8,207,14,6,15
CARROTS,b22762c4-577c-4195-9c19-367b566625c4,1.35,1.8,180,14,6,15
CARROTS,6hReMbtRVHmsFmp3Sy5r,1.35,1.8,179,14,6,15
CARROTS,SARNIES,1.35,1.8,326,14,6,15
CARROTS,x9bviQCfs5FSKkJJPnFj,1.35,1.8,268,14,6,15
CARROTS,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,1.35,5.2,408,14,6,15
CARROTS,2SBVln3dsn5IX35mnJvy,1.25,1.8,382,14,6,15
CARROTS,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,1.35,1.8,275,14,6,15
CARROTS,bgvfuSmTFDXTyUDoN0qp,1.4,1.7,458,14,6,15
CARROTS,BURNTENDS,1.25,1.8,734,14,6,15
CARROTS,tFwVht0zVlzfYANIVoKb,1.35,1.8,516,14,6,15
CARROTS,okOUrWpfJfQd7TmkFSvK,1.3,1.8,342,14,6,15
ROSEMARY,5ASEPlvGDhzzsqBtSbv1,2.2,2.2,10,14,6,15
ROSEMARY,DTE3NjLMc3M5n5h6RcJ8,2.0,3.5,233,14,6,15
LEMON YELLOW,5ASEPlvGDhzzsqBtSbv1,0.55,0.55,10,14,12,6
LEMON YELLOW,IqrZb4R8IBBBX72xbr6O,3.5,3.5,103,14,12,6
LEMON YELLOW,hMTlVUJVpBoJZX4hKR7n,3.3,3.3,79,14,12,6
LEMON YELLOW,ecb6a488-6a92-456d-a2fa-3a42668b63da,0.4,0.5,62,14,12,6
LEMON YELLOW,d7SEd3s5IO8OFTGbhm3U,3.5,3.5,346,14,12,6
LEMON YELLOW,Y7UmL0O87UJXe0mlOJ2h,0.4,4.5,275,14,12,6
LEMON YELLOW,Nq0MaGT0ku8KDsCkSKc3,3.5,3.5,841,14,12,6
LEMON YELLOW,mbqvoTlZSi1aN0wjFDGn,3.5,3.5,602,14,12,6
MEAGREMAIGRE RED LABEL ACQUADEA ESP,5ASEPlvGDhzzsqBtSbv1,26.0,38.0,10,14,4,20
CELERY IMPORTED,5ASEPlvGDhzzsqBtSbv1,2.5,2.5,9,14,6,15
CELERY IMPORTED,ecb6a488-6a92-456d-a2fa-3a42668b63da,2.0,3.2,62,14,6,15
